Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sat Jun  6 20:40:01 2020 ---
FN7114 line across CO2 30 microns0001.CSV, 0001, Spec0001_VoigtH, VoigtH, 1.1221744196536, 3109.7997455308, 6.7873260153028, 1, 3.7965595206101, 4.5601327164963, 2.2800663582481, 0.11872958664731, 
FN7114 line across CO2 30 microns0002.CSV, 0002, Spec0002_VoigtH, VoigtH, 1.3985225849524, 3106.2524639986, 8.0380060830694, 1, 4.4961400782275, 5.4004146010019, 2.7002073005009, 0.12494487735952, 
FN7114 line across CO2 30 microns0003.CSV, 0003, Spec0003_VoigtH, VoigtH, 1.0705639527449, 3107.2249714677, 5.1060281301085, 1, 2.8561085272992, 3.4305359540652, 1.7152679770326, 0.15056593115582, 
FN7114 line across CO2 30 microns0004.CSV, 0004, Spec0004_VoigtH, VoigtH, 1.0477485865102, 3106.8688148485, 4.7164261564083, 1, 2.6381807190335, 3.1687779800595, 1.5843889900297, 0.15952962553294, 
FN7114 line across CO2 30 microns0005.CSV, 0005, Spec0005_VoigtH, VoigtH, 0.99221808367844, 3107.2946864536, 5.5527529953883, 1, 3.1059886032743, 3.7306725128281, 1.865336256414, 0.12832051215873, 
FN7114 line across CO2 30 microns0006.CSV, 0006, Spec0006_VoigtH, VoigtH, 1.2937015852224, 3107.4571794066, 6.9636332171627, 1, 3.8951787388801, 4.6785864694975, 2.3392932347487, 0.13341219311537, 
FN7114 line across CO2 30 microns0007.CSV, 0007, Spec0007_VoigtH, VoigtH, 1.1603202662869, 3107.1984334146, 6.3935046315008, 1, 3.5762715425871, 4.2955398897067, 2.1477699448533, 0.13032753915974, 
FN7114 line across CO2 30 microns0008.CSV, 0008, Spec0008_VoigtH, VoigtH, 0.99014849051478, 3106.9671028161, 4.5241992905111, 1, 2.5306566755156, 3.0396284419069, 1.5198142209534, 0.1571650242182, 
FN7114 line across CO2 30 microns0009.CSV, 0009, Spec0009_VoigtH, VoigtH, 1.1357278998096, 3106.6852257665, 6.2261220237799, 1, 3.4826443864001, 4.1830822143395, 2.0915411071698, 0.13099477339962, 
FN7114 line across CO2 30 microns0010.CSV, 0010, Spec0010_VoigtH, VoigtH, 1.1990686118642, 3107.6981750063, 7.2341412024189, 1, 4.0464901190186, 4.8603299588862, 2.4301649794431, 0.11902943016294, 
FN7114 line across CO2 30 microns0011.CSV, 0011, Spec0011_VoigtH, VoigtH, 1.179856497871, 3107.0812602058, 6.2818374313441, 1, 3.5138093636762, 4.2205151669152, 2.1102575834576, 0.13487758989837, 
FN7114 line across CO2 30 microns0012.CSV, 0012, Spec0012_VoigtH, VoigtH, 1.0426259323237, 3106.7129167993, 5.5626100438092, 1, 3.1115022430999, 3.7372950691766, 1.8686475345883, 0.13460066585646, 
FN7114 line across CO2 30 microns0013.CSV, 0013, Spec0013_VoigtH, VoigtH, 1.1604355511569, 3107.2896751486, 5.8110479551913, 1, 3.2504685039825, 3.904210559188, 1.952105279594, 0.14340485917166, 
FN7114 line across CO2 30 microns0014.CSV, 0014, Spec0014_VoigtH, VoigtH, 1.3226191842954, 3107.7487344165, 7.2830746340766, 1, 4.0738615294117, 4.8932063732694, 2.4466031866347, 0.13041194095464, 
FN7114 line across CO2 30 microns0015.CSV, 0015, Spec0015_VoigtH, VoigtH, 1.2463979739509, 3107.2661904838, 7.5324498662039, 1, 4.2133520901425, 5.0607516115774, 2.5303758057887, 0.11882772594438, 
FN7114 line across CO2 30 microns0016.CSV, 0016, Spec0016_VoigtH, VoigtH, 1.1265864164099, 3107.086060373, 5.8865212338028, 1, 3.2926852464549, 3.9549180345976, 1.9774590172988, 0.13743681968544, 
FN7114 line across CO2 30 microns0017.CSV, 0017, Spec0017_VoigtH, VoigtH, 1.2611550452007, 3107.253603383, 7.22519810141, 1, 4.0414877049306, 4.8543214472271, 2.4271607236135, 0.12534760023149, 
FN7114 line across CO2 30 microns0018.CSV, 0018, Spec0018_VoigtH, VoigtH, 1.1380076623385, 3107.3872084212, 6.1279904703867, 1, 3.4277535085393, 4.1171515509029, 2.0585757754515, 0.13335963750795, 
FN7114 line across CO2 30 microns0019.CSV, 0019, Spec0019_VoigtH, VoigtH, 1.1737502196011, 3107.1385080057, 5.542953645465, 1, 3.1005072376874, 3.7240887217909, 1.8620443608955, 0.1520658665787, 
FN7114 line across CO2 30 microns0020.CSV, 0020, Spec0020_VoigtH, VoigtH, 1.2083384045397, 3107.4790137, 6.7491938813672, 1, 3.7752299254487, 4.5345132617777, 2.2672566308888, 0.12856832209737, 
FN7114 line across CO2 30 microns0021.CSV, 0021, Spec0021_VoigtH, VoigtH, 1.0219183175203, 3106.8239557774, 4.442298790388, 1, 2.4848448016225, 2.9846027735852, 1.4923013867926, 0.1651983552937, 
FN7114 line across CO2 30 microns0022.CSV, 0022, Spec0022_VoigtH, VoigtH, 1.1247786067152, 3107.1849626467, 5.2441693272845, 1, 2.933379204462, 3.5233474959475, 1.7616737479737, 0.1540237322334, 
FN7114 line across CO2 30 microns0023.CSV, 0023, Spec0023_VoigtH, VoigtH, 1.1750006859458, 3107.1417515353, 5.4603244574409, 1, 3.0542877648396, 3.6685734772312, 1.8342867386156, 0.15453148279898, 
FN7114 line across CO2 30 microns0024.CSV, 0024, Spec0024_VoigtH, VoigtH, 1.3037988048639, 3107.2434939435, 5.3964521408721, 1, 3.0185601379324, 3.6256602239401, 1.8128301119701, 0.17350002837813, 
FN7114 line across CO2 30 microns0025.CSV, 0025, Spec0025_VoigtH, VoigtH, 1.4806757741917, 3107.6455104719, 5.9278390886234, 1, 3.3157968068451, 3.9826778476842, 1.9913389238421, 0.1793745671139, 
FN7114 line across CO2 30 microns0026.CSV, 0026, Spec0026_VoigtH, VoigtH, 1.478350606823, 3107.4719155184, 5.7554878440384, 1, 3.2193903933263, 3.866881944056, 1.933440972028, 0.18445592258148, 
FN7114 line across CO2 30 microns0027.CSV, 0027, Spec0027_VoigtH, VoigtH, 1.787023888369, 3107.5130507338, 6.2072743021844, 1, 3.4721017225139, 4.1704191844975, 2.0852095922488, 0.20674105205152, 
FN7114 line across CO2 30 microns0028.CSV, 0028, Spec0028_VoigtH, VoigtH, 1.901072840568, 3107.4166721073, 5.9167648353959, 1, 3.3096023111881, 3.9752375001394, 1.9876187500697, 0.23073408252379, 
FN7114 line across CO2 30 microns0029.CSV, 0029, Spec0029_VoigtH, VoigtH, 1.8821868736415, 3107.1386342535, 5.5147629365811, 1, 3.0847384792744, 3.7051485127023, 1.8525742563511, 0.24509429001042, 
FN7114 line across CO2 30 microns0030.CSV, 0030, Spec0030_VoigtH, VoigtH, 1.9967661929282, 3107.3460938871, 5.6104036917549, 1, 3.1382361039346, 3.7694057084985, 1.8847028542493, 0.25558208267266, 
FN7114 line across CO2 30 microns0031.CSV, 0031, Spec0031_VoigtH, VoigtH, 1.9900473664597, 3107.1386378901, 5.1963760916686, 1, 2.9066455742682, 3.4912371336534, 1.7456185668267, 0.27501737907296, 
FN7114 line across CO2 30 microns0032.CSV, 0032, Spec0032_VoigtH, VoigtH, 2.0970672649449, 3107.0910687529, 5.175562656049, 1, 2.895003368342, 3.4772534192278, 1.7386267096139, 0.29097259803214, 
FN7114 line across CO2 30 microns0033.CSV, 0033, Spec0033_VoigtH, VoigtH, 2.067842017162, 3106.9580627166, 4.8254890947326, 1, 2.6991861777233, 3.2420530035501, 1.621026501775, 0.30773246705737, 
FN7114 line across CO2 30 microns0034.CSV, 0034, Spec0034_VoigtH, VoigtH, 2.0385149055752, 3107.1211401193, 4.8407631933375, 1, 2.7077298994108, 3.2523150591234, 1.6261575295617, 0.30241084029584, 
FN7114 line across CO2 30 microns0035.CSV, 0035, Spec0035_VoigtH, VoigtH, 2.2970679892018, 3107.1303543216, 4.796881969083, 1, 2.6831844923766, 3.2228330207018, 1.6114165103509, 0.34388411792584, 
FN7114 line across CO2 30 microns0036.CSV, 0036, Spec0036_VoigtH, VoigtH, 2.4208835728827, 3107.0684401203, 4.0994946453485, 1, 2.2930938325928, 2.7542863877773, 1.3771431938886, 0.42407325273891, 
FN7114 line across CO2 30 microns0037.CSV, 0037, Spec0037_VoigtH, VoigtH, 2.8172758242877, 3107.1019933773, 3.9878726750999, 1, 2.2306569534889, 2.6792920531508, 1.3396460265754, 0.50732397451522, 
FN7114 line across CO2 30 microns0038.CSV, 0038, Spec0038_VoigtH, VoigtH, 3.1016626706596, 3107.1318951163, 3.9409369066971, 1, 2.2044029562615, 2.6477577887608, 1.3238788943804, 0.56518728452536, 
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_VoigtH, VoigtH, 3.562578807462, 3107.1138396168, 3.8440416358431, 1, 2.150203605555, 2.5826577340856, 1.2913288670428, 0.66553928912903, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_VoigtH, VoigtH, 3.9273556816498, 3107.110765902, 3.8210364316552, 1, 2.137335411691, 2.5672014580749, 1.2836007290375, 0.73810195883228, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_VoigtH, VoigtH, 4.1277102911868, 3107.1629722453, 3.6990543948854, 1, 2.0691035244945, 2.4852466093694, 1.2426233046847, 0.80133809974711, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_VoigtH, VoigtH, 4.2919566733395, 3107.0953963776, 3.8037827872767, 1, 2.1276844110344, 2.555609424919, 1.2778047124595, 0.81028336258731, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_VoigtH, VoigtH, 4.4300173199726, 3107.12175965, 3.585344912428, 1, 2.0054989743029, 2.4088497588335, 1.2044248794167, 0.8873026613668, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_VoigtH, VoigtH, 4.6893890637212, 3107.135216952, 3.6347202322515, 1, 2.0331175593151, 2.4420230601906, 1.2210115300953, 0.92649393182485, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_VoigtH, VoigtH, 4.7482923011593, 3107.1372519106, 3.5519713739513, 1, 1.9868311476869, 2.3864274139616, 1.1932137069808, 0.95998686366879, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_VoigtH, VoigtH, 5.2341497133197, 3107.1022134853, 3.5966867995941, 1, 2.011843173713, 2.4164699189107, 1.2082349594554, 1.0450590272796, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_VoigtH, VoigtH, 5.5546907849306, 3107.1013752908, 3.4819345878469, 1, 1.9476553623366, 2.3393725002956, 1.1696862501478, 1.1456094334578, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_VoigtH, VoigtH, 6.2238727807067, 3107.1322949446, 3.5046473698189, 1, 1.9603599868738, 2.3546323095224, 1.1773161547612, 1.2753038815578, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_VoigtH, VoigtH, 6.9840886504344, 3107.134961982, 3.5207536059356, 1, 1.969369173103, 2.3654534449872, 1.1827267224936, 1.4245293840076, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_VoigtH, VoigtH, 7.7731159563664, 3107.1495517063, 3.3867772559194, 1, 1.8944281453634, 2.2754400972317, 1.1377200486158, 1.6481844529045, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_VoigtH, VoigtH, 8.3379716999708, 3107.1193705089, 3.3498465770511, 1, 1.8737705962572, 2.2506278520897, 1.1253139260449, 1.787445468999, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_VoigtH, VoigtH, 8.8020611438285, 3107.1075418404, 3.3652233125437, 1, 1.882371728927, 2.2609588652803, 1.1304794326401, 1.8783122617978, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_VoigtH, VoigtH, 9.3428761033236, 3107.0952881493, 3.3361930206919, 1, 1.866133341281, 2.2414545739961, 1.1207272869981, 2.0110678424116, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_VoigtH, VoigtH, 9.457202458714, 3107.0662563738, 3.3336250927897, 1, 1.8646969448116, 2.2397292860088, 1.1198646430044, 2.0372448628932, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_VoigtH, VoigtH, 9.3081568287122, 3107.0856363046, 3.3036222982106, 1, 1.8479145779196, 2.2195716090624, 1.1097858045312, 2.0233480934251, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_VoigtH, VoigtH, 9.0197771077859, 3107.0571998995, 3.289540199649, 1, 1.8400376135239, 2.2101104106136, 1.1050552053068, 1.9690552803898, 
